Feed,Sentiment
بعد مقضي نص المدة فتحو باب زنزانته الصاج اخدو منه كل العهدة شالو ملفه الادراج عم محمد مات الوحدة اول يوم بعد الافراج بجد صعب عليا اوي عم محمد ,Positive
يوميات مكتوبة بشكل روائي ممتاز يحكي مآسي الريف بكوميدية خفيفة,Positive
قالها الكاتب وصدق لا يمكنك أن تدخل في سيرة عمر وتخرج منها كما دخلت استرداد عمر من أوائل الكتب التي أقرها في عهدي الجديد مع القراءة أعظمها وأروعها حت الآن معلومات كثيرة تحليل رائع وأسلوب ممتع لست أذكر مر بكيت فيها وأنا أقرأ أي كتاب ولست أذكر كم مر بكيت فيها وأنا أقرأ هذا الكتاب كن نسمع العديد من القصص عن هذا الص حابي أمير الممنين لكن ها لم تو فه حق أبدا لم تعرض صورته الكاملة اختزلته إلى رجل دائما ما يتسر لـ ضرب عنق من يتجرأ على الإسلام والمسلمين صار فيما بعد خليفة يهتم لأمر رعي ته لكن عمر أكثر من ذلك بكثيير هو أبو العيال هو أو المسلمين هو ذو نظام تشغيل قرآني عمر بن الخط اب لم أكن أتصو أن ني سأجد نفسي فيه لكن الآن قدوتي أتمن وجوده معي لأستشيره لكن عدم وجوده معي يضطرني إلى حل آخر قراءة أخرى للكتاب ننطلق منها بإذن الله نحو المسيرة,Positive
الرواية بكل بساطة تتحدث عن سيرة مجهول الابوين تتصف بالمعانات محن التي مرت عليه بجمالها قبحها مما صقلته ليكون ذات طابع حاد ردت فعل اتجاه المجتمع التي تمجد تستمتع بطقوس العادات التقاليد والحسب والنسب فهو واقع لا يجب انكاره ننتظر الجزء الثاني ملاحظه التكرار في بعض اجزاء الرواية اتعبني كثرا ,Positive
غريب ومستفز,Positive
كتاب ضروري ,Positive
نجاحه كان باهر وبعدين حبه للاعمال ورغبته هي اللي خلته بيدخل هاظ المجال,Positive
لماذا أصبنا بالعمى لا أدري ربما نعرف يوما ما لا أعتقد أننا أصبنا بالعمى أعتقد أننا عميان عميان ولكننا نرى عميان يستطيعون الرية لكنهم لا يريدون ماذا لو فقد مجمتع بأكماله القدرة على إدارك ما يجري في محيطه ماذا لو انتشر العمى بين سكان المدينة كوباء ينتقل بالعدوى من فرد لـ فرد وباء لم يكن بمقدور أحد السيطرة على انتشاره لا الأطباء عرفوا له علاجا ولا الحكومة استطاعت أن توقف زحف هذا الوباء فعمي سكان المدينة كلهم بمن فيهم حكامها أيتصور أحد كيف سيمكن أن يتجلى الوضع وكيف ستكون الحياة وعلى ماذا سترتكز وكيف سيكون العمل لاستمرارها في رواية العمى تظهر الوجوه على حقيقتها لم يعد بإمكان أحد أن يرى الآخر ولا حتى شيء فالرية منعدمة وكل لا يرى إلا بحرا حليبيا ومن المعلوم أن العمى أسود إلا زوجة طبيب بقيت هي الوحيدة التي تملك البصر فبأيهما تبصر هذه المرأة خلال هذه المحنة القاسية أبقلبها أم عيونها أم بوعيها وماذا عساه يفعل الواعي وحده إن كان كل من حوله لا يعون لكأن الكاتب يريد من خلال ذلك أن ينو بأن ما يحدو الإنسان حتى في أسوأ الأوضاع هو الأمل غرائبية هذه الرواية تتجلى من صفحتها الأولى برمزيتها وقساوتها لن أقول كآبتها كما وصفها بعض القرآء بل إن من ينسجم معها سوف ينطلق إلى عالم فسيح يعج بفلسفة الحياة ومعانيها ليفهمها على حقيقتها أكثر وأكثر كما أنه من الصعب أن نتبي كل ما فيها من رموز وقيمة لكن قول زوجة الطبيب الذي أوردته سابقا يقودنا إلى فهم أحد تلك الرموز وهي قيمة من يعي الواقع ويستطيع التعامل معه في الرواية تصوير رائع للوضع الاجتماعي والاقتصادي والسياسي كما أن الصور بها مذهلة حقا وكذلك تحليل نفسيات الشخصيات التي كثيرا ما نجد أنفسنا مصطدمين مع شبيهاتها في المجتمع تبدأ الرواية أحداثها بـ عمى من نوع غريب أصيب به رجلا فجأة فجعله يرى كل شيء أبيض لا أسود كما هي حال العمى عادة ويمتد هذا العمى الغريب فيصيب كل من كان قرب هذا الرجل وكل من رآه واتصل به في بداية الأمر ظنت الحكومة أنها تستطيع منع انتشار المرض بحجز المصابين في مستشفى للمجانين قديم ومهمل ورغم أن زوجة الطبيب الذي كان قد عاين أول المصابين لم تكن قد أصيبت بالعمى لكنها اد عت ذلك لترافق زوجها إلى المشفى حيث تم حظر كل العميان المصابين فيه وكذلك من اعتبرتهم الحكومة حاملي هذا المرض نع العميان في المشفى من أي اتصال مع الخارج حتى في حال مرض أو وفاة أي أحد منهم إذ كان على العميان دفن الميت في حديقة المشفى بأنفسهم دون استعانة بأحد قد قدمت لهم الحكومة ثلاث وجبات في اليوم وكانتع أعداد المصابين تتزايد كل يوم ازديادا كبيرا من غير أن تزداد كمية الطعام المقد لهم يصف الكاتب في الرواية مفصلا تصرفات هلاء العميان كيف سيهتدون للمراحيض كيف سينظفون غرفهم وكيف يقضون حاجتهم على الأرض فما من صابون ولا ورق تواليت ينظفون به أنفسهم فتفوح منهم روائح تكاد لا تحتمل حتى باتوا يشعرون انهم أقرب الى الخنازير منهم الى البشر كما يصفهم كيف يتسابقون لأخذ حصص الطعام على الباب الخارجي وهم خائفين من تهديدات الحراس بقتلهم إن أخطأوا مكانها وتقدموا باتجاههم أكثر في هذه الحياة الرتيبة الكئيبة اليائسة يستمعون بسعادة لا سعادة بعدها الى أغنية من راديو صغير أحضره أحد العميان الذين انضموا إلى الجمع ثم ينضم اليهم مجموعة أخرى من العميان الجدد لكنهم مجرمون مسلحون فاستولوا على كل الطعام الذي يقدم للعميان جميعا رافضين تسليم الآخرين ولو جزء من حصصهم إلا مقابل ما يملكون من أموال وحلى ثم أصبح ذلك مقابل اغتصاب النساء فاضطر النساء إلى الرضوخ لمطالبهم وهنا يصف الكاتب كيف يهجمون على النساء في مضاجعة متوحشة مقرفة أدت الى موت إحداهن ويبرز فن الأديب في أنه استطاع ان يبقي القارئ مشدودا إلى القصة على رغم أن كل أحداثها تثير الاشمئزاز والنقمة على مسببي هذه الأوضاع المزرية إلا أنه في كل مرة يضيف الى الأحداث ما يزيد القارئ إحساسا بمأساة هلاء العميان بوحشية المشرفين على أوضاعهم وفي خضم استغراق القارئ بمتابعة هذه الأحداث الملمة فإنه لا بد أن يتساءل كيف ومتى سيتخلص هلاء العميان من الجحيم الذي يعيشونه وحين اضطر العميان إلى تسليم كل ما يملكون للعميان المجرمين المسلحين احتفظت زوجة الطبيب والتي كانت الوحيدة بينهم تبصر احتفظت بمقص كان بين أغراضها ولا يعود الكاتب يذكر هذا المقص في مجريات الرواية إلا بعد خمسين صفحة منها وذلك عندما طفح مع زوجة الطبيب الكيل لأنها كانت وحدها ترى كل ما يحدث من غير أن يدري أحد بذلك فقامت بطعن رئيس المجرمين بالمقص الذي كانت أخفته ثم أضرم العميان النار في غرفتهم فما لبثت النار ان امتدت الى المشفى بكامله فهرع العميان الى الخارج ووجدوا أن الحراس كانوا قد اختفوا وإذ يخال القارئ أن مأساة هلاء انتهت يجد أن قدرهم التعيس يلاحقهم في الخارج أيضا في بحثهم عن الطعام والملابس واتضح لهم أن السكان في المدينة كلهم أصبحوا عميانا وأنه لا ماء ولا كهرباء في المدينة وأن الطعام قد أيضا وبفضل زوجة الطبيب استطاع من كان معها أن يحصل على بعض الطعام والملابس وأن يهتدوا إلى بيتها ويقيموا فيه وكثيرا ما أصاب هذه المرأة الشجاعة اليأس أثناء بحثها عما بقي من طعام نادر في المدينة المنكوبة فجلست مرة على حافة الرصيف تبكي ولم يستطع أحد أن يراها لتثير شفقته سوى كلب دنا منها فـ لحس دموعها وظل يتبعها حيثما ذهبت فمن يعرف لعله سيحتاج الى تجفيف دموع أخرى ستذرفها وكان هلاء العميان ينتظرون أن تمطر السماء ليغسلوا أجسادهم وملابسهم وحين تعثر زوجة الطبيب على زجاجة ماء نظيف كانت نسيتها خرج أثمن ما لديها من كوس بلورية تصب فيها الماء العزيز الذي لم يكونوا ذاقوه منذ أن جنوا فيرفعون كوسهم ويشربون الماء بخشوع عميق وبأيد مرتجفة فيما بكى اثنان منهم سعادة تعاسة شفقة على أنفسهم وهنا يترك الكاتب لنا أن نتخيل السبب وفجأة يصرخ أول رجل كان قد أصيب بالعمى الأبيض أنه يرى وتدريجا يستعيد الجميع بصرهم لتنتهي الرواية بقول زوجة الطبيب في آخر فقرة منها لا أظن أننا عمينا أظن أننا عميان عميان يرون عميان بإمكانهم أن يروا ولكنهم لا يرون هنا يتضح لنا لم ترك الكاتب زوجة الطبيب وحدها تبصر ولا تصاب بعدوى العمى الأبيض الغريب الذي أصاب كل سكان المدينة من دون استثناء إن الكاتب يشير هنا الى عدم وعي الناس حقيقة واقعهم وهنا نفهم الآن لماذا كانت هذه المرأة المبصرة قد قالت لرفاقها العميان مر لا تستطيعون أن تعرفوا ما معنى أن يبصر الإنسان في عالم جميع أناسه عميان والمقصود هنا أي أنه وحده من يعي مأساة الإنسانية وعذابه فيما الجميع حوله مستسلم غافل وعدم وعي الناس يظهر في العنف الذي استخدمه العميان ضد بعضهم بعضا من دون أن يدركوا أن مأساتهم واحدة وأن عليهم التعاون بدلا من الشجار والتضارب وفي أن العميان المجرمين لم يدركوا أن مغالاتهم في الوحشية لا بد من أن تنقلب عليهم أو عندما هرع الناس لينهبوا أموال البنوك فلم يعوا هذه الأموال لن تنفعهم حين يصابون جميعا بالعمى ويختفي حتى الطعام أو في عدم إدراك المسولين في الدولة أن ادعاءاتهم لا تصدق حين يكدون للناس عبر وسائل الإعلام أنهم سيطروا على الوباء فيما يرى الناس أن عدد العميان في ازدياد مضطرد وهنا تظهر قيمة من يعي الواقع وكان هذا ممثلا في زوجة الطبيب التي عرفت كيف تخل رفاقها من العميان المجرمين وضمدت جراح من رح من العميان في المستشفى وتدب رت أمور رفاقها العميان حين خرجوا من المستشفى لقد حملت وحدها مسولية ستة أشخاص مكفوفين وحين نبهها زوجها الى أنها مرهقة أجابت أنها ستقوم بهذه المسوليات ما دام في إمكانها أن تفعل وفي الرواية أيضا نقد غير مباشر لكل حكم عسكري ديكتاتوري فالحكومة أصدرت الأوامر بعدم السماح للعميان بالحصول على طبيب أو دواء وبأن قد لهم الحد الأدنى من الطعام وحين طالب الطبيب الأعمى بأدوية للأعمى المصاب بجرح بليغ رفض الحراس طلبه وهد دوه بالقتل وحين جر الجريح نفسه إلى البوابة آملا أن يشفقوا عليه قتلوه بل اقترح أحد الضباط أن يقتلوا العميان جميعا ليرتاحوا منهم ويتجنبوا نشر عدواهم إلا أن الكاتب ينتقد أيضا وحشية الإنسان تجاه أخيه الإنسان فالعميان المجرمون استولوا على كل الطعام بقوة السلاح لم يشعروا بشفقة أو بتأنيب ضمير وحتى بعد أن قد لهم العميان الآخرون كل ما يملكون ثم نساءهم أنفسهن لم يعطوهم إلا قسما قليلا من حصتهم وأكثر ما تبدو هذه الوحشية في وصف ساراماغو الحي لانهيال العميان المجرمين على النساء في مشهد اغتصاب جماعي متوحش يثير الاشمئزاز ولكن الكاتب يخفف من وطأة هذه الأحداث ببعض الفكاهة أو السخرية ولو مرة فها هي مومس تخرج من غرفتها عارية وتصرخ حين تكتشف عماها فيما يهرول زبونها محاولا الهرب وهو يزر بنطلونه بعجلة وهناك شخصان في مصعد ينقطع التيار فجأة وليس من منقذ إذ كان العمال أصيبوا جميعا بوباء العمى فيقول الكاتب إنهما ماتا من دون شك ولكنهما كانا في تابوتهما الفولاذي في مأمن من الكلاب الشرسة التي كانت تأكل جثث الموتى على الطريق ونلاحظ ان الكاتب لا يذكر أسماء الأشخاص وانما يشير اليهم اما بمهنهم طبيب موظفة شرطي مثلا أو بمظهرهم الخارجي صاحبة النظارة السوداء صاحب الرقعة على عينه بهذا الأسلوب الفني يمحو الكاتب الفوارق والفواصل بين الناس بما أنهم جميعا عميان أو يجعل أحد العميان يقول لا يحتاج العميان الى أسماء الرواية تحمل الكثير أيضا من الجوانب الإنسانية الرائعة دمتم,Positive
 بتوجع بس لذيذه,Positive
اول مرة اقرا لكاتب من الخليج كنت خايفة منسجمش مع الرواية بس العكس تماما حصل الاسلوب سلس الاحداث كانت بتحافظ على عقلى فى حالة من التركيز الشديد المستمر الجزئين من الرواية أحلى من بعض فى انتظار ثلاثية فرسان كهنة تكتمل,Positive
صادفت بالكتاب افكار جاوبتني على كتير من الاسئلة اللي كانت بتخطرلي وكمان في افكار استغربت منها ومش عارفة السبب عشان تجربتي قليلة جدا جدا مقارنة بتجربة مصطفى محمود واني مع الوقت رح اقتنع فيها والا رح رح يضل موقفي منها زي مهو حتى بعد سنين اكتر الافكار اللي بتشدني هي افكاره عن الجانب النفسي والعاطفي بشكل عام والحب بشكل خاص افكاره مختلفة عن كتير من الكت اب وبحسها الانسب لتفسير هاي المواضيع المقالات المميزة برأيي هي اسرار الشعور جدا جدا الجنس اللطيف المزاج لغز الصحة والمرض,Positive
كتاب هز وجداني زلزال افاقني من الغيبوبه جزاه الله عنا كل خير,Positive
كتاب يعكس الواقع الاليم,Positive
من اجمل مسرحيات الحكيم,Positive
ماعدا جزء أوكتافيا عبقري ,Positive
قطز الجزء من فرسان وكهنه هالجزء فيه خطين خط مراد قطز ايام الدراسه في امريكا ونبوغه ومغامراته النسائيه الخط الثاني هروب امراء الخوارزمين من المغول وبدايه حرب المغول عجبتني الروايه بشقيها التاريخي ايام المغول والشق العلمي لمراد وفيريجينا في امريكا بالجزء توقعت الاحداث نوع من تناسخ الارواح قديما وحديثا بس اتضح ان شي اخر اهل الكشف اصدق ان فيه اشخاص قله مميزة ومن اهل الكشف هالروايه مبذول فيها جهد كبير ان شا الله تاخذ حقها بالقرائه ومتشوقه للجزء توقعاتي ان في جزء مراد يعود لينتقم وينشر كتاب الاب وافكاره مره اخرى وبطريقه اخرى وكتاب الاب بيكون فيه الحل,Positive
عبدالله حرفش ,Positive
أبهرني منطقه ,Positive
كتاب سل وجميل جدا أنهيته في ساعتين تقريبا بعض الأراء والمعتقدات التي صاغها الكاتب على بعض الشخصيات رآقت لي كثيرا لأن ذلك ما أعتقده أيضا حبيبي يا حبيبي كتبت اسمك على صوتي كتبته في جدار الوقت على لون السما الهادي على الوادي على موتي وميلادي الله يا أستاذ غازي حتى أغنيتي المفضلة بين هذه السطور التي أصبحت من الأفضل لدي بالطبع أحببت الأسئلة والأجوبه على نفس هذا المقطع من الأغنية من يعقوب ومن روضه والأخيرة أكثر كيف كتبت اسمي على صوتك بالقلم السحري يا رجل لماذا حتى تكون كل كلمة أقولها هي اسمك يا رجل إلخ ,Positive
انه من الرائع ان تجد من يمن بقضيه بشده يتفانى فى خدمتها بالرغم مما يمكن ان يتعرض له وبالرغم من وجود حلول سهله بالهرب ويتمسك بالامل حتى تبدا بادره تغيران هذه القصه بالرغم مما فيها من مآسى تجعل الانسان يشعر ان الامل دائما موجود,Positive
اول مرة اقراله واكيد مش آخر مرة عميق بإجرام سلس بإحتراف مختصر بوضوح ,Positive
وطن في كتاب,Positive
قصه حب رومانسية من القصص التي تجذب القاريء لقراءه المزيد معرفه الأحداث المستقبلية صفحة تلوى الاخرى وفاه حمد آلمتني لامست ألم حزن بسمة أعجبني وفاءها سعدني خروجها من الحزن سلمت يدك يا علياء الكاظمي ,Positive
قرأت المجموعة بأكملها تركستان الشرقية لم اكن لاعرفها لولا الدكتور كيلاني رحمه الله رواية تستحق القراءة الى جانب باقي المجموعة الظل الاسود عمالقة الشمال دم للطير بني صهيون عذراء جاكرتا,Positive
حروف هي أشبه برصاصة رحمة في قلب الذاكرة وقبلة على جبين النسيان تمازحه ولا تطارحه لا يتقنها إلا قلم مبدع متمكن من أدواته في الحب وخبير بحكايا العشاق كقلم أحلام مستغانمي اخترت الخمس نجمات بدل الأربع لإيماني بدور هذا الكتاب في توعية المغلوبات على أمرهن ممن ارتضين العشق قيد يأسرهن ويميتهن أحياء بدل الحب الجميل الذي يحررهن في فضاء الحياة الزاهية الرحبة ,Positive
متوسط الحجم هي ليست بالرواية التقليدية وكأنها رواية بشخصية واحدة البروفسور تلاشت أهمية الشخصيات الأخرى أمامها الأحداث تدور فيها بتسلسل غير متسلسل وكلها حول الشخصية الوحيدة الراوي بنفس الوقت الشخصية غريبة عفوية ومضحكة جدا الحقيقة أني أعجبت بها للغاية لدرجة تمنيت ألتقي بها يوما ما أتقن غازي تخبط الشخصية المثقلة بالعلم والأحداث وحد من الاستطرادات بذكاء عبر إضافة الدكتور النفساني الذي يرجع البروفسور دائما لسياق الحديث المطلوب ايصاله الهدف من الرواية كما أعتقد إيصال أفكار وتوقعات يحملها غازي القصيبي بأسلوب ساخر هادف عندما لا يكون الهدف واضحا لك من البداية فإنك ستظن الرواية عبارة عن حشو معلومات مملة أمم لا أعلم أن كان هنالك قارئ سيمل اسلوبه الفاخر في السخرية أعجبني الكثير من الأفكار كعقدة الخواجة أفكار الطلاب المبتعثون ومحاولة تحقيق الديموقراطية العربية عبر ثلاث روساء يمثلون الأنواع الثلاثة من الحكام العرب والكثير من الأفكار المبعثرة هنا وهناك لأول مرة أتذوق الشعر في حياتي كما تذوقته من هذا الكتاب بساطة أسلوب غازي شرحه لأبيات الشعر التي يستشهد بها ترغمني أن أتذوق الشعر الذي لا افهم مذاقه غالبا من أول أكله في كل حدث مهم كانت الشخصية تفخر ببطولاتها الجنسية التي لا تنتهي لا أعلم لماذا كنت أتوقع تفسير لهذا الأمر أو حدث في نهاية الأمر يبين الهدف من ذكر تلك المغامرات ربما بسبب أسئلة الدكتور النفساني التي كانت دائما تحاول أخذ تفاصيل أكثر تنتهي الرواية ولا توضيح فلا تنتظره هي ليست مقززة ولا تفاصيل دقيقة فلا ضرر منها ولكن لا فائدة أيضا عندما أنهيت الرواية أكتئبت قليلا رغم قدم الرواية فإنها لازالت تشرح الوضع الحالي للعالم العربي والغربي أتمنى للثورات الحالية أن لا تكون كالتي ذكرت في الكتاب أتمنى حقا ,Positive
يبدو أن مخلفات الحرب النفسية اكثر مخلفاتها ضررا على البشرية رواية قاسية جدا تستعرض قدرة الحروب على زرع بذور الشر في الاطفال وتحويلهم إلى مسوخ صغيرة قصة الرواية عن توأمين تتركهم امهم عند جدتهم التي تستغلهم للعمل يبدأ الاطفال تدريجيا بقتل مشاعرهم الانسانية وبراءتهم عن طريق التعود هنا اتذكر كلمات ممدوح عدوان نحن لا نتعود يا أبي إلا إذا مات شيء فينا وتصور حجم ما مات فينا حتي تعودنا على كل ما حولنا فيعودون انفسهم علئ الضرب حتى يفقدوا الاحساس بالالم ثم يعتادون على الالفاظ البذئية حتى تفقد ارواحهم الشعور بأذاها ويعتادون الجوع والقسوة الى ان تختفي كل ملامح البراءة فيهم يتمرنون على التسول والخداع والسرقة وابتزاز الناس ليظلوا على قيد الحياة طوال الرواية يبدو التوأمان كأنهما شخص واحد حتى الصفحة الأخيرة ينفصلان فيعبر احدها الحدود والآخر يعود لبيت الجدة بعد أن يضحيا بوالدهما ثمة سبيل واحد لعبور الحدود ان تدفع بأحدهم امامك وكان الأب هو الضحية هم رغم قسوتهم التي تمثلت برفضهم للعودة مع والدتهم تضحيتهم بأبيهم قتلهم الحيوانات يتصرفون بلطف مع جارتهم التي تحولت لعاهرة صغيرة بسبب الظروف القاسية يشكرون الخادمة والاسكافي الذين ساعدوهم يتعاطفون مع جدتهم رغم قسوتها عليهم لهذا اختلفت المشاعر اتجاه التوأمين فمرة تكرههما ومرة تتعاطف معهما ومرة تعجب بهما نهاية الرواية غريبة لا اعلم لماذا اختارت الكاتبة توأمين واستخدمت اسلوبا يجعلهما كشخص واحد بكل التفاصيل وفي النهاية فصلتهما اظن أن تناقض تصرفاتهما فمرة يكونان عطوفين ومرة قاسيين ترمز الى كونهما يمثلان صراع الخير والشر في النفس وهي تعاني ظروف الحرب فيطغى احدهما على الآخر حسب المواقف التي يمران بها ولهذا كان لابد أن بنفصلان في النهاية ليمثل احدهما الخير الذي استطاع الهرب من الحدود والشر الذي استمر العيش في بيت الجدة ادبيا الرواية جافة الاسلوب وباردة المشاعر وخالية من اي صور ادبية او لغة جيدة لكني وجدت ذلك قد رفع من قيمة الرواية وطرحها بأسلوب جديد فضلا عن أن قسوة الرواية كانت ضرورية جدا لتوضيح وجهة نظر الكاتبة في تصوير ابعاد الحروب النفسية واثرها في خلق اجيال مجرمة ومتجردة من كل المشاعر الانسانية رواية غريبة جدا لم يسبق لي قراءة مثلها من الروايات التي لن انساها ,Positive
بسيط جدا بحتاج ربع ساعة كاركاتير بعبر عن واقعنا بشكل كبير جميل وخفيف ولطيف وبسلي وبيضحك ,Positive
لله درك يا ابن القيم كتاب ينتقل بك من دار الدنو الي دار العلو فيسوق روحك سوقا الي بلاد الافراح وينسيك الأتراح فكلما توغلت بين ضفتي الكتاب رأت روحك النعيم وانتشي فادك وأراد ان يقيم وتمنيت ان تنال رضا الرحمن ليسكنك الجنان ولله درك يا ابن القيم ,Positive
قرأت هذا الكتاب في مرحلة المتوسطة وفعلا أستفدت كل الإستفادة والحمدلله الأن في سنتي الرابعة في كلية طب الأسنان بحث عن الكتاب في مكتبي ولم اجده وقررت شراء نسخة ثانية وبعد شرائي بفترة قابلني زميل دراسة وشكرني على اهدأئي الكتاب له قبل اكثر من سنوات وهوا الآن على اعتاب التخرج بتخصص المحماماة ,Positive
اكتر من راائع لمحبين كت الرحلات عندي تحفظات عن بعض كلماته وبعض الاحداث التي يوجد بها ماحرمه الله متل الخمر لكنه بالمجمل رائع وهادف وحمسني للسفر حول العالم ,Positive
الماغوط وتنظيراته في للوضع السائد في الشرق الأوسط آنذاك الحب والحرية والنقمة والظلم والتخلف والعبقرية واللامبالاة والعمل والنضال والإنتقاد والمعارضة كل ذلك وأكثر وزيادة في هذا الكتاب يا ماغوط لو ناديت لأسمعت حيا ولكن لا حياة لمن تنادي إقتباسات راقت لي بلد لا يوجد فيه مشاكل هو بلد لا استطعيع العيش فيه مشكلتي في هذا الوطن انني احترم كل شيء فيه حتى قمامته بدليل وانا عائد في آخر الليل سقد علي كيس قمامة فلم احتج ولم انفضها حتى عن ثيابي ولأنني من طريقة سقوطها علي عرفت أنها زبالة مدعومة من كثرة الطرق التي أصبحت تدي الى قضية فلسطين صارت القضية في حاجة الى ادارة مرور تنظم حركة السير إليها اذا لم نستطع تدريب انسان عربي واحد على صعود الباص من الخلف النزول من الامام فكيف نبغي تدريبه على الثورة على الرغم من ملايين الاقدام الفتية التي تدق كعوبها على الارض العربية صباح مساء فلا شيء يدب عمليا على طريق التحرير سوى العكاكيز,Positive
رائع من افضل الحبكات التي قراتها يتميز باسلوب السهل الممتنع مغرق في عالم الكوابيس متاهات السكر ذات المعاني مقبض لحد كبير صياغته للفكره بصورة ممتازه لكن لم تعجبني النهايه,Positive
اخيرا انهيت هذا الكتاب الذي اعتبره من افضل ما قرأت ليس باعتباره محتوى معرفي بقدر ما هو اداه معياريه لاستقبال المعرفه الوصول اليها عن تحر تدقيق كعادة اي كتاب يجيب على اسئله لكنه يخلق اسئله اخري اخرج من هذا الكتاب بسال ما محدودية اتباع المنطق غير الصوري في التعامل مع النصوص الخطابات الدينيه ,Positive
كتاب حلو وخفيف,Positive
بدأت في سلسه الاعمال الكاملة لنجيب محفوظ ووجدتني اقفز من رواية لروايه بنهم من دون توقف نصحتني اعز صديقاتي بهذه الروايه قد نالت فعلا اعجابي الشديد اظن انها لغويا اجمل بكثير من ولاد حارتنا ليالي الف ليلة لكن غضبت بسبب النهاية مع هذا انتهيت منها في جلسة واحدة اعجبتني ان احداثها حافظت علي تشويق البساطة لم تكون من دلك النوع الملئ بالوصف الزائد المبالغ بمعني انها حافظت علي مقوله ماقل دل اجمل مافيها هي الرمزيه في رحلة ابن فطومه الطريقه التي تجعلك تفكر طوال الوقت بالغايه من كل رحلة كل دار في النهاية تاب يستحق القراءة اظن انني سأنصح به كل اصدقائي الجدد من الان صاعدا ,Positive
واحد من أروع الكتب اللي قرأتها في حياتي أسلوب رائع تجربة جديدة بفكر أخوضها فكرة العزلة والإبتعاد عن الحياة إن شاء الله هجربها ,Positive
نجيب محفوظ بيقصف جبهة ,Positive
رائعة بتفلج بتشل بيغض النظر عن صحة المعلومات او لا هي بتخلي الواحد يفتح مخو على احتمالات خيارات جديدة لا بتخطر على بال حدا وهاد شي مهم من مكاسب القراءة نظامي بنصح بقرائتا,Positive
نجيب سرور الرائع الجنون,Positive
كأنها كانت تشعر بقرب الموت منها استمتعت بقراءه الكتاب بكل كلمه فيه كان اشبه بالخواطر رحمك الله ياهديل جعل قبرك روضه من رياض الجنه ,Positive
اعجبني فيه هذده القصص كيف صرت مجنونا الطموح الملك الحكيم الذوات السبع النملات الثلاث القفصان اللغه الاخرى العداله,Positive
جمل استوقفتنى اللهم امنحنى السكينه لاتقبل الاشياء التى لا استطيع تغييرها والشجاعه لتغيير الاشياء التى استطيع تغييرها والحكمه لمعرفه الفرق بينهم اتخذنا قرارا بتوكيل ارادتنا وحياتنا لعنايه الله على قدر فهمنا ,Positive
من احسن الكتب اللي قرأتها تتناول السيرة النبوية,Positive
حيث تحتبس الانفاس وتجحظ الاعين مع تسارع وتصارع الاحداث والنهايات غير المتوقعه التى لطالما تعودناها من احمد مراد ,Positive
اقتبس من القصة نهايتها وقد ظل صامتا طوال الطريق ولم يتلفظ بأيما شيء إلا حين وصل مشارف رام االله عندها فقط نظر الى زوجته وقال أرجو أن يكون خالد قد ذهب أثناء غيابنا وهما عائدون الى حيفا ما فتكا ان يصمتا سعيد عنده الف قصة تحليل تخيل ولكن بعدما أنهوا المشوار رجعوا أعقابهم ظلوا صامتين وكأنهم متقيقنين لما عليهم فعله لينهوا كل القصص والتحاليل والتخيلات وانتهوا الى حقيقة الامر الوطن هو الانسان الانسان هو القضية,Positive
عند قراءتها شعرت بمدى تشابه احاسيس النساء واكتشفت ايضا بأن مشاعر النساء بقصصهن العاطفيه متشابهه جدا ادعو كل امرأه رحت وصدمت بالحب بأن تقرأ معزوفة احلام مستغانمي بهذا الكتاب الرائع,Positive
وبعد سنين من البحث والسال وعندما بدأ اليأس يدب في اعماقي وقررت ان اطبع هذه السلسة بنفسي بوك تشينو توفرت لديهم واسرعت للطلب وفقالت لي صديقتي هدى لا تأكدي الطلب لقد طلبته لك وكان من المفترض ان تكون مفاجأة وصلت الهدية وبدأت اليوم بقراءة المهمة غير المستحيلة للمرة الثانية الاولى ورقيا,Positive
من اجمل واروع كتب جبران ,Positive
